symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AAPL,2015-12-14 00:00:00+00:00,104.5688732468,104.7548065207,102.0680707127,104.2899733359,65003609,112.48,0.0,112.68,109.79,112.18,1.0,65003609
AAPL,2015-12-15 00:00:00+00:00,102.7188371714,104.866366485,102.5886838797,104.0668534072,53323105,110.49,0.0,112.8,110.35,111.94,1.0,53323105
AAPL,2015-12-16 00:00:00+00:00,103.5090535855,104.1133367257,101.1477010069,103.2580436657,56238467,111.34,0.0,111.99,108.8,111.07,1.0,56238467
AAPL,2015-12-17 00:00:00+00:00,101.3150409534,104.3550499818,101.3150409534,104.1412267168,44772827,108.98,0.0,112.25,108.98,112.02,1.0,44772827
AAPL,2015-12-18 00:00:00+00:00,98.5725251632,101.8170607929,98.3679985619,101.2499643075,96453327,106.03,0.0,109.52,105.81,108.91,1.0,96453327
AAPL,2015-12-21 00:00:00+00:00,99.7810914436,99.8182780984,98.1448786332,99.7346081251,47590610,107.33,0.0,107.37,105.57,107.28,1.0,47590610
AAPL,2015-12-22 00:00:00+00:00,99.6881248067,100.1436613277,98.9639147048,99.8461680895,32789367,107.23,0.0,107.72,106.451,107.4,1.0,32789367
AAPL,2015-12-23 00:00:00+00:00,100.9710643966,101.1941843253,99.6602348156,99.7253114614,32657354,108.61,0.0,108.85,107.2,107.27,1.0,32657354
AAPL,2015-12-24 00:00:00+00:00,100.4318579023,101.3336342808,100.3574845927,101.3336342808,13596680,108.03,0.0,109.0,107.95,109.0,1.0,13596680
AAPL,2015-12-28 00:00:00+00:00,99.3069615952,100.1157713367,98.7126258851,100.0228046997,26704210,106.82,0.0,107.69,106.1807,107.59,1.0,26704210
AAPL,2015-12-29 00:00:00+00:00,101.0919210247,101.7333908197,99.3441482499,99.4371148869,30931243,108.74,0.0,109.43,106.86,106.96,1.0,30931243
AAPL,2015-12-30 00:00:00+00:00,99.7717947799,101.0547343699,99.6416414882,100.9431744056,25213777,107.32,0.0,108.7,107.18,108.58,1.0,25213777
AAPL,2015-12-31 00:00:00+00:00,97.8566820587,99.5021915328,97.4476288561,99.4835982054,40912316,105.26,0.0,107.03,104.82,107.01,1.0,40912316
AAPL,2016-01-04 00:00:00+00:00,97.9403520319,97.9570860266,94.8259696939,95.3930661794,67649387,105.35,0.0,105.368,102.0,102.61,1.0,67649387
AAPL,2016-01-05 00:00:00+00:00,95.4860328163,98.4051852167,95.2071329054,98.3122185797,55790992,102.71,0.0,105.85,102.41,105.75,1.0,55790992
AAPL,2016-01-06 00:00:00+00:00,93.6174034135,95.1699462507,92.8457803268,93.4872501218,68457388,100.7,0.0,102.37,99.87,100.56,1.0,68457388
AAPL,2016-01-07 00:00:00+00:00,89.6663213429,93.0874935829,89.6477280155,91.739477347,81094428,96.45,0.0,100.13,96.43,98.68,1.0,81094428
AAPL,2016-01-08 00:00:00+00:00,90.1404511914,92.1392338859,89.9545179175,91.618620719,70798016,96.96,0.0,99.11,96.76,98.55,1.0,70798016
